path,seed,s_final,err_real_mean,err_dos_mean,err_fdi_mean,time_in_dt_ratio,tube_violations,dos_windows,fdi_windows
figure8,906691059,0.999,0.851205880678153,1.824318876011245,0.754356922895223,0.5466666666666666,0,4,4
figure8,525367680,0.999,0.28620081079495024,0.745332539927698,0.30377527489110295,0.32375,0,3,3
figure8,260957515,0.999,0.3835074385708838,1.9985257587644443,0.7954368657312983,0.45958333333333334,0,5,4
figure8,169875223,0.999,0.6739654800524673,1.5981280760212415,1.0661679912739355,0.7145833333333333,0,7,6
figure8,602803946,0.999,0.8497320740739015,1.659389589227363,0.9817395469041732,0.6391666666666667,0,5,6
figure8,912076881,0.999,0.6242602490653087,0.8747863763476814,0.8343081556628218,0.5591666666666667,0,5,5
figure8,65665921,0.999,0.24828687880218273,1.3746872596614634,0.42755582136188497,0.3875,0,4,3
figure8,341728468,0.999,0.32827520453245096,1.6696082500738507,0.3742574542093976,0.3825,0,4,3
figure8,438165226,0.999,0.579694861280974,1.449009949675301,0.37645733838941714,0.6170833333333333,0,7,3
figure8,130515898,0.999,0.39591819075356216,1.0014639797440124,0.43403482120034764,0.4075,0,3,5
figure8,132272237,0.999,0.6573102547151501,1.5127351907787674,0.9200560337904041,0.6041666666666666,0,6,5
figure8,967723062,0.999,0.93584254770762,1.4699437537445934,0.6222329828916615,0.6191666666666666,0,6,5
figure8,639316533,0.999,0.6447775016001835,2.372260867512933,1.6796286086456023,0.6116666666666667,0,6,5
figure8,87373493,0.999,1.2155063269120885,2.098372718609327,0.7260367558598473,0.6708333333333333,0,5,6
figure8,492089786,0.999,1.062154199829284,1.3285190603315957,1.230429624374789,0.63125,0,6,6
figure8,165136855,0.999,0.8215413577922396,1.6699471580144105,0.5057695827523425,0.5241666666666667,0,6,3
figure8,352063526,0.999,0.9281204207842969,1.0689883790965433,0.8985580560698816,0.6320833333333333,0,6,5
figure8,369551553,0.999,0.9835713920646759,1.2972315003030268,1.4982107560038045,0.635,0,7,6
figure8,181294867,0.999,0.37313971013399616,0.8424515514283899,0.8985898561394199,0.4170833333333333,0,3,4
figure8,992702177,0.999,0.4264571991662556,1.2311988474161941,0.7176372142985583,0.42541666666666667,0,4,5
figure8,463530476,0.999,0.5248204299411117,2.110662605875731,1.325266367664981,0.5595833333333333,0,4,5
figure8,654648579,0.999,0.48453357397011454,1.7078771058315791,1.2906261700298547,0.495,0,5,4
figure8,742158023,0.999,0.5537018324555683,1.7142915798200595,0.5626040550670561,0.5166666666666667,0,5,4
figure8,444353331,0.999,0.791034071144803,0.9744425874728123,0.8510805890200089,0.52375,0,5,4
figure8,172398123,0.999,0.5243345119495266,1.9650812746007504,0.8853414180564149,0.4558333333333333,0,4,5
figure8,423953692,0.999,0.47491696419094515,2.7251026673053937,1.1488106523918609,0.55,0,5,7
figure8,223525999,0.999,0.35579535657246847,1.7042894275707663,0.636077040751751,0.45625,0,5,3
figure8,555253264,0.999,0.660721296412009,1.7369031665541972,1.039212650626355,0.47458333333333336,0,3,5
figure8,423151795,0.999,1.4880893291554569,1.3844227106201552,1.5304455883460635,0.675,0,6,6
figure8,248709580,0.999,0.7630422059955112,1.7616122975336517,1.5797174747739382,0.605,0,5,6
sCurve,881291010,0.47901364336869146,0.5937515716181494,2.5204316064557073,2.0035827776481807,0.66875,0,6,6
sCurve,707436356,0.47901364336869146,0.43723145190523593,2.424317832449909,1.1408320532979512,0.68625,0,6,6
sCurve,966405851,0.47901364336869146,0.24518595256877537,0.9340644820567201,1.340825223405606,0.3620833333333333,0,3,3
sCurve,157394221,0.47901364336869146,0.3431321511905752,2.124027728788,1.3220029887680251,0.5445833333333333,0,4,6
sCurve,47254919,0.47901364336869146,0.2403994133905924,1.4588196114864571,0.7191911658363656,0.5295833333333333,0,6,4
sCurve,190257413,0.47901364336869146,0.5143551661340605,1.5239267081312529,1.218323786260597,0.44666666666666666,0,5,5
sCurve,289151763,0.47901364336869146,0.7604850622210858,2.855968856182471,1.7534818785287378,0.57,0,5,6
sCurve,993476615,0.47901364336869146,0.6132605688043234,1.8928932760409134,0.7542779999644794,0.62,118,4,6
sCurve,835323845,0.47901364336869146,0.2709527645645303,1.6527537787069622,1.0994304423494934,0.40958333333333335,0,3,4
