path,seed,s_final,err_real_mean,err_dos_mean,err_fdi_mean,time_in_dt_ratio,tube_violations,dos_windows,fdi_windows
figure8,906691059,0.999,0.8327766383820727,1.8329661519874223,0.7679790871378316,0.5466666666666666,0,4,4
figure8,525367680,0.999,0.3632853575333674,0.8987301328060594,0.30625429035332574,0.32375,0,3,3
figure8,260957515,0.999,0.43362707456871663,2.0762184159985932,0.796703233004655,0.45958333333333334,0,5,4
figure8,169875223,0.999,0.668577440903656,1.6041182822242464,1.0774392215615956,0.7145833333333333,0,7,6
figure8,602803946,0.999,0.749919864718329,1.6944381665104973,1.038274052328305,0.6391666666666667,0,5,6
figure8,912076881,0.999,0.5958162775111044,0.824653153718354,0.7868758485537218,0.5591666666666667,0,5,5
figure8,65665921,0.999,0.2461372388568477,1.3597202815038265,0.4042081204347612,0.3875,0,4,3
figure8,341728468,0.999,0.3322609649331527,1.5871622939663235,0.38505049517193035,0.3825,0,4,3
figure8,438165226,0.999,0.6569396285734974,1.5311378693479696,0.38327759793627836,0.6170833333333333,0,7,3
figure8,130515898,0.999,0.3929248516420744,0.9661302918819217,0.4352376523045838,0.4075,0,3,5
figure8,132272237,0.999,0.6443496956356886,1.5783984579814994,1.0370102935532985,0.6041666666666666,0,6,5
figure8,967723062,0.999,0.8981988390334025,1.503776337661244,0.6236239575788889,0.6191666666666666,0,6,5
figure8,639316533,0.999,0.653036128141335,2.383144759827333,1.6752806178552506,0.6116666666666667,0,6,5
figure8,87373493,0.999,1.2234929802132266,2.030067066609688,0.6394945933353491,0.6708333333333333,0,5,6
figure8,492089786,0.999,1.0313526435985483,1.4321757557464785,1.1678796740120332,0.63125,0,6,6
figure8,165136855,0.999,0.8436732156076772,1.6951610666671832,0.505844751900197,0.5241666666666667,0,6,3
figure8,352063526,0.999,0.9503283747782505,1.079615031917065,0.8972367044786808,0.6320833333333333,0,6,5
figure8,369551553,0.999,0.9570228948585044,1.2985028660511495,1.4758790082957263,0.635,0,7,6
figure8,181294867,0.999,0.3744437700262015,0.8670885883450957,0.9155668469149745,0.4170833333333333,0,3,4
figure8,992702177,0.999,0.4041256594109394,1.1795493961124897,0.7160502748577827,0.42541666666666667,0,4,5
figure8,463530476,0.999,0.5265700270646293,2.0940704334244455,1.3598128021867548,0.5595833333333333,0,4,5
figure8,654648579,0.999,0.48388151303632837,1.6869765535076355,1.3066054996648933,0.495,0,5,4
figure8,742158023,0.999,0.5904372980181545,1.672788553438112,0.5631962512200371,0.5166666666666667,0,5,4
figure8,444353331,0.999,0.7936147027821346,0.9669000337057596,0.847135978925135,0.52375,0,5,4
figure8,172398123,0.999,0.4989425959728706,1.8962668496338373,0.8919259445068911,0.4558333333333333,0,4,5
figure8,423953692,0.999,0.4711601657366898,2.7296275830105756,1.14931722714237,0.55,0,5,7
figure8,223525999,0.999,0.3502103743590691,1.7704228934095538,0.6403285991072112,0.45625,0,5,3
figure8,555253264,0.999,0.6509809905830641,1.7081122520192715,1.0424362877836972,0.47458333333333336,0,3,5
figure8,423151795,0.999,1.3157571998513868,1.3174493348084033,1.389661523228957,0.675,0,6,6
figure8,248709580,0.999,0.7245275886257292,1.7902378966371744,1.5590758020977182,0.605,0,5,6
sharpL,881291010,0.999,0.5515290408730444,4.812236224116075,3.169551842093241,0.66875,548,6,6
sharpL,707436356,0.999,0.4749976133695183,4.539263345034265,3.123625912995846,0.68625,393,6,6
sharpL,966405851,0.999,0.34128373307938453,4.799211622755352,1.9354427876575984,0.3620833333333333,183,3,3
sharpL,157394221,0.999,0.3928767444994694,3.4004112390869645,1.5679388046665426,0.5445833333333333,198,4,6
sharpL,47254919,0.999,0.39353407344631536,4.968252758456408,0.6879281629122541,0.5295833333333333,574,6,4
sharpL,190257413,0.999,0.46024884496132773,3.127356003045668,1.871933286626078,0.44666666666666666,235,5,5
sharpL,289151763,0.999,0.5203774320203302,4.699652938375583,3.0206489638499505,0.57,132,5,6
sharpL,993476615,0.999,1.024679812903045,2.7641707885343174,2.494613389330694,0.62,69,4,6
sharpL,835323845,0.999,0.3559599051379504,2.6917991057551984,2.654730913669241,0.40958333333333335,203,3,4
sharpL,208654029,0.999,0.34168388967097363,3.2739667187674963,1.6061156386203896,0.47708333333333336,58,5,4
sharpL,695401319,0.999,0.47578965040897003,3.139099430263371,1.9789756847058197,0.5566666666666666,32,4,6
sharpL,148708215,0.999,0.35660412694040006,3.0045417934765815,1.1892175732049703,0.4891666666666667,294,5,3
sharpL,6898620,0.999,0.4432767130087915,3.341801980850217,2.5487225579208914,0.5333333333333333,201,7,5
sharpL,664648677,0.999,0.2654366445164345,2.2789580402011826,0.5139127114922836,0.42083333333333334,431,3,4
sharpL,630452087,0.999,0.6027213455541715,3.409035227060156,2.1930961215250275,0.5229166666666667,66,4,5
sharpL,517237545,0.999,0.27676814389355625,2.2374745556287445,1.2398717048271042,0.3070833333333333,56,2,3
sharpL,643307316,0.999,0.5264841352027452,3.419880298075088,1.8266078032075113,0.6025,246,6,4
sharpL,503275508,0.999,0.2305215693735924,4.319219716443698,2.305132956639764,0.36791666666666667,204,4,3
sharpL,667181712,0.999,0.7397103209737562,4.2853659557089285,2.1647121654863772,0.5254166666666666,147,4,6
sharpL,754535109,0.999,0.34719636444167484,3.151232509168953,1.6644039787981724,0.4575,41,4,5
sharpL,572599815,0.999,0.4527914308778444,4.503053458428644,1.841836988804401,0.6295833333333334,382,5,5
sharpL,911684715,0.999,0.6401566796465925,3.3715627261633276,2.9570299126858983,0.66875,272,6,7
sharpL,406425411,0.999,0.31362124484136017,3.9434499136154955,0.9265167374967113,0.5183333333333333,413,5,4
sharpL,141223823,0.999,0.4471557447288803,3.0886605890181626,1.293077902588473,0.43,114,5,2
sharpL,40008312,0.999,0.45320847182641844,4.121789822931607,2.8017071214494083,0.6045833333333334,401,4,6
sharpL,1259196,0.999,0.719795165896559,3.290477159638979,0.996253124363569,0.6079166666666667,317,6,4
sharpL,146945343,0.999,0.4874328124472729,3.2707278259414676,2.575197172918718,0.44416666666666665,32,4,4
sharpL,79403921,0.999,0.3186074061504283,2.102692472283671,0.41109599697638755,0.3720833333333333,208,4,2
sharpL,106026988,0.999,0.3567312747362247,2.6603877124940234,0.25804002628623474,0.33666666666666667,9,4,2
sharpL,907655629,0.999,0.6939200419755168,2.844868381277953,2.3785462787042446,0.605,150,7,6
sCurve,827837125,0.47176566013057364,0.25088232474158506,2.5252285309077402,0.8982771463680996,0.6420833333333333,0,7,5
sCurve,100837786,0.47176566013057364,0.33588268423382356,1.8969627273982679,1.719480611831124,0.5458333333333333,0,4,6
sCurve,830739707,0.47176566013057364,0.22667879665549126,1.2029268599896008,0.49261077604909115,0.45416666666666666,0,4,3
sCurve,957360799,0.47176566013057364,0.20883816617283713,0.7351384214334189,0.6700366254127214,0.32166666666666666,0,1,4
sCurve,948173650,0.47176566013057364,0.5094502079038998,1.963376270046671,0.6890455453718035,0.7120833333333333,0,7,5
sCurve,491988464,0.47176566013057364,0.255949012669068,0.6012026386124483,0.9592135884022893,0.46125,0,3,4
sCurve,702552413,0.47176566013057364,0.6030419982218728,2.1527825934471823,0.7543846010451244,0.59625,0,5,5
sCurve,599032787,0.47176566013057364,0.42323790554805774,1.440292636883107,0.7273468596972902,0.5029166666666667,0,4,5
sCurve,615138292,0.47176566013057364,0.30649777259975736,2.1708693572125792,1.1698180291939781,0.5258333333333334,0,5,5
sCurve,49398890,0.47176566013057364,0.2282231157173032,1.4143234279583168,0.7601302107899737,0.5,0,3,7
sCurve,215815017,0.47176566013057364,0.23093469644375544,1.8212870302580928,0.6540451877741437,0.49541666666666667,0,3,5
sCurve,394898599,0.47176566013057364,0.4049908733150087,1.4651423236999184,1.4409087812787669,0.4895833333333333,0,4,4
sCurve,344985479,0.47176566013057364,0.8226821147474307,2.096658537918567,1.6765961248623702,0.5604166666666667,16,4,6
sCurve,994080146,0.47176566013057364,0.7218920750696476,2.6098361305348785,2.1103433709564547,0.6166666666666667,95,5,7
sCurve,366025419,0.47176566013057364,0.569047787513928,2.386670760803076,0.9523903785143804,0.47,0,3,5
sCurve,356951981,0.47176566013057364,0.2359321931487835,1.253207816625457,0.6016375655882965,0.5358333333333334,0,5,5
sCurve,878041382,0.47176566013057364,0.33908304576946074,2.566074032034531,0.4844127107135311,0.48375,0,5,3
sCurve,617570136,0.47176566013057364,0.8025644064053482,2.315948933929876,0.6564728361515296,0.5879166666666666,9,6,5
sCurve,246187039,0.47176566013057364,0.22021090787736966,0.7626936273153323,0.7596999665183691,0.3954166666666667,0,5,3
sCurve,888961527,0.47176566013057364,0.5876859446877689,2.6344664057361187,1.5263375799514816,0.5533333333333333,0,5,5
sCurve,853305227,0.47176566013057364,0.6062204739376036,2.417670212322777,1.3432156162699465,0.525,0,4,5
sCurve,920699527,0.47176566013057364,0.24862487498206473,1.0095383594224778,1.573556107289808,0.38416666666666666,0,2,5
sCurve,581615406,0.47176566013057364,0.2953951523594842,1.9224365490690636,1.6348272493293072,0.52125,0,5,5
sCurve,166958958,0.47176566013057364,0.39907968316517817,1.965511449963122,1.6507437956706212,0.6070833333333333,0,6,5
sCurve,257626892,0.47176566013057364,0.2490930801692186,0.7581442495804736,0.6091907526067062,0.51125,0,5,4
sCurve,522333016,0.47176566013057364,0.24852813184609815,2.4056675038811877,1.2084526218770286,0.5441666666666667,0,5,5
sCurve,268599738,0.47176566013057364,0.26199714511768724,1.6550217822100084,1.3532508260278606,0.49083333333333334,0,5,4
sCurve,198226646,0.47176566013057364,0.29959176613386734,0.5538575362128756,1.2911265096262665,0.3875,0,4,4
sCurve,353696727,0.47176566013057364,0.3535360022210242,1.989852840280848,1.100498905994102,0.49,0,4,5
sCurve,443240929,0.47176566013057364,0.4512796835389701,2.391859515848579,1.7286216163391077,0.53,0,4,4
